"carat","cut","color","clarity","depth","table","price","x","y","z"
0.31,"Ideal","E","VS2",61,56,872,4.38,4.34,2.66
0.51,"Very Good","F","SI1",62.5,59,1203,5.08,5.1,3.18
0.55,"Very Good","G","VVS1",60.8,58,1838,5.25,5.3,3.21
1.7,"Premium","H","VS2",62.4,57,13298,7.6,7.54,4.72
1.27,"Very Good","H","VS1",60.7,54,8235,7.01,7.05,4.27
0.7,"Good","D","SI2",63.7,58,2388,5.64,5.6,3.58
1.02,"Very Good","H","VS2",62.5,56,5217,6.42,6.45,4.02
0.51,"Premium","F","SI1",59.7,59,1406,5.2,5.15,3.09
0.42,"Very Good","E","SI1",62.8,59,773,4.74,4.78,2.99
1.61,"Very Good","I","SI2",60.9,63,7636,7.5,7.54,4.58
1,"Good","G","VS2",63.7,59,5645,6.38,6.33,4.05
0.38,"Premium","E","VVS1",60.6,59,1047,4.62,4.65,2.81
0.5,"Premium","D","VS2",61.1,58,1752,5.09,5.12,3.12
1.31,"Premium","H","SI1",59.3,59,7395,7.18,7.13,4.24
1.16,"Very Good","F","SI1",63.4,55,6301,6.73,6.65,4.24
0.33,"Ideal","H","VVS1",61.7,55,730,4.48,4.5,2.77
1.56,"Premium","J","VS2",61.7,58,7763,7.41,7.46,4.59
0.7,"Good","E","SI1",58.3,64,2370,5.77,5.69,3.34
0.5,"Good","D","SI1",63.3,56,1436,5.07,5.1,3.22
0.6,"Fair","F","SI1",55.3,63,1367,5.67,5.61,3.12
0.63,"Very Good","D","SI1",62.8,57,1939,5.46,5.49,3.44
1.5,"Good","G","VS1",63.8,58,13720,7.21,7.12,4.57
0.32,"Premium","G","SI2",62.7,58,540,4.39,4.35,2.74
0.3,"Ideal","D","SI1",61.7,56,709,4.35,4.31,2.67
0.7,"Ideal","I","VVS1",61.5,57,2620,5.72,5.75,3.52
1.22,"Premium","I","SI2",62.5,58,5226,6.8,6.76,4.24
1.03,"Ideal","I","SI1",62.2,58,4434,6.45,6.41,4
0.6,"Very Good","G","VVS1",61.2,56,2528,5.41,5.46,3.32
0.33,"Very Good","H","IF",60.3,59,868,4.47,4.49,2.7
0.32,"Ideal","D","VS2",61.5,56,758,4.41,4.44,2.72
0.41,"Very Good","G","VS2",62.9,59,827,4.7,4.75,2.97
1.44,"Very Good","H","SI2",58.2,61,7128,7.45,7.51,4.35
0.3,"Ideal","D","VVS2",61.7,57,1041,4.3,4.32,2.66
1.01,"Ideal","G","VS2",62.4,57,6340,6.39,6.36,3.98
0.53,"Very Good","D","VS1",59.4,59,1907,5.25,5.32,3.14
0.3,"Premium","E","SI1",62.5,60,675,4.27,4.24,2.66
0.31,"Premium","E","VS1",60,59,734,4.38,4.42,2.64
0.81,"Ideal","F","SI2",62.9,57,2726,5.97,5.93,3.74
0.7,"Premium","G","SI2",61.3,58,2100,5.75,5.67,3.5
0.56,"Ideal","D","VS2",60.9,56,1963,5.31,5.36,3.25
1.08,"Premium","I","SI1",60.5,60,4355,6.67,6.61,4.02
0.4,"Very Good","E","SI1",62,61,687,4.67,4.71,2.91
1,"Good","D","I1",57.8,62,2657,6.51,6.47,3.75
1.51,"Premium","F","SI2",59.9,58,9471,7.53,7.46,4.49
0.3,"Very Good","D","VVS2",60.6,58,2366,4.33,4.35,2.63
0.32,"Premium","E","IF",61.6,58,1095,4.38,4.39,2.7
0.82,"Fair","H","SI1",64.9,58,3057,5.82,5.77,3.76
0.97,"Premium","D","SI1",62,60,4639,6.29,6.25,3.89
1.14,"Good","E","SI1",60.9,64,5899,6.78,6.68,4.09
1.01,"Premium","H","SI2",61.6,60,3676,6.22,6.18,3.82
0.41,"Premium","F","VVS1",62.1,56,1356,4.79,4.78,2.97
0.34,"Premium","E","VS1",58,60,757,4.63,4.61,2.68
1.04,"Ideal","F","IF",61.8,55,10787,6.49,6.56,4.03
0.38,"Ideal","E","VS1",62.1,56,1000,4.62,4.65,2.88
1.01,"Very Good","F","VS2",61.5,54,7370,6.45,6.5,3.98
0.9,"Very Good","F","SI1",63.1,58,3881,6.18,6.12,3.88
1.05,"Premium","I","SI2",58.3,57,2911,6.72,6.67,3.9
1.02,"Ideal","G","IF",62.5,57,8162,6.37,6.44,4
2.03,"Fair","G","SI2",64.9,59,14687,7.85,7.99,5.14
1.51,"Premium","H","VS1",61,60,11161,7.29,7.34,4.46
1.11,"Very Good","G","SI1",60.3,60,5000,6.62,6.67,4.01
0.3,"Premium","G","VS2",61.9,58,526,4.3,4.33,2.67
1.2,"Premium","H","SI1",59.3,60,5822,7,6.92,4.13
0.72,"Premium","G","SI2",61.6,55,2364,5.79,5.76,3.56
0.79,"Ideal","D","SI1",61.2,56,3185,6.02,5.95,3.66
1.11,"Ideal","G","VS2",62.2,55,6713,6.67,6.61,4.13
1.51,"Ideal","F","SI1",62.5,57,10693,7.27,7.32,4.56
0.3,"Ideal","I","VS1",62,58,491,4.28,4.3,2.66
1.51,"Ideal","G","VS1",62.1,55,13995,7.38,7.33,4.57
1.57,"Very Good","H","VS2",63.4,56,9407,7.46,7.4,4.71
0.41,"Ideal","F","VS1",62,56,1076,4.81,4.77,2.97
0.41,"Ideal","E","VS1",62.7,57,1153,4.76,4.72,2.97
0.43,"Premium","F","VS2",61.3,59,968,4.84,4.81,2.96
0.7,"Premium","E","SI2",59.8,61,2135,5.76,5.74,3.44
1.21,"Premium","E","SI1",62.6,58,7203,6.79,6.82,4.26
1,"Fair","H","VS1",64.6,59,5242,6.3,6.26,4.06
0.76,"Ideal","E","SI1",62.4,54,3056,5.84,5.86,3.65
0.56,"Ideal","E","VVS2",61.7,56,2712,5.31,5.33,3.28
1.03,"Ideal","H","SI1",59.8,57,5018,6.64,6.57,3.95
2.32,"Ideal","G","SI2",61,58,18532,8.5,8.54,5.2
1.59,"Premium","E","SI2",62.3,58,6010,7.42,7.37,4.61
1.52,"Very Good","F","VS2",62.3,56,14412,7.29,7.34,4.56
0.53,"Ideal","G","VVS2",62.1,54,1893,5.18,5.22,3.23
0.57,"Very Good","J","VS1",62.9,57,1270,5.25,5.28,3.31
0.39,"Very Good","F","VS2",62.1,59,716,4.69,4.71,2.92
1,"Premium","E","VS2",60,60,6720,6.43,6.43,3.89
1.42,"Ideal","G","VS2",62.6,57,10735,7.19,7.15,4.49
0.35,"Ideal","D","VS1",61.4,56,1026,4.55,4.58,2.8
1,"Ideal","G","SI1",61,57,5622,6.47,6.44,3.94
0.31,"Ideal","E","IF",60.9,55,987,4.39,4.41,2.68
0.42,"Ideal","G","VS1",62,55,984,4.83,4.78,2.98
0.32,"Very Good","G","SI2",60.7,61,388,4.42,4.47,2.7
0.53,"Premium","F","VS2",61.4,60,1631,5.18,5.21,3.19
0.9,"Ideal","G","SI1",62.5,55,4260,6.17,6.21,3.87
1.01,"Ideal","H","VS2",62.7,56,5166,6.35,6.4,4
0.9,"Very Good","I","SI1",61.8,56,3407,6.19,6.24,3.84
1.23,"Premium","I","SI1",62.5,59,5412,6.8,6.84,4.26
0.51,"Premium","E","VS2",61.5,60,1567,5.12,5.09,3.14
1.07,"Ideal","H","VS2",61.8,56,5108,6.52,6.55,4.04
0.55,"Ideal","D","VS2",61,56,1645,5.28,5.31,3.23
0.31,"Premium","G","VVS1",58,62,977,4.47,4.42,2.58
1.1,"Very Good","G","IF",60.5,55,8592,6.77,6.71,4.08
1.15,"Premium","H","SI1",62,58,5433,6.77,6.71,4.18
0.3,"Very Good","G","VVS1",61.1,57,680,4.33,4.37,2.66
0.72,"Ideal","E","SI1",61,56,2976,5.82,5.85,3.56
0.97,"Good","F","SI2",59.1,62,4182,6.49,6.54,3.85
1.53,"Premium","G","SI1",58.4,59,10830,7.58,7.52,4.41
1.23,"Ideal","G","VS1",61.2,56,9119,6.92,6.98,4.25
0.33,"Very Good","J","IF",60.9,54,529,4.47,4.53,2.74
0.41,"Very Good","E","VS2",63.3,56,910,4.71,4.74,2.99
0.73,"Very Good","E","SI2",63.1,59,1975,5.76,5.72,3.62
0.66,"Good","G","VS1",59,62,2055,5.66,5.72,3.35
1.09,"Ideal","G","VS1",62.5,56,6856,6.63,6.55,4.12
1.51,"Ideal","G","SI1",61.6,56,8283,7.34,7.25,4.5
0.71,"Very Good","D","VVS2",62.7,59,3670,5.64,5.69,3.55
1.71,"Ideal","H","VS2",61.4,56,14292,7.68,7.71,4.72
0.76,"Ideal","H","VVS1",61.9,54,3648,5.87,5.9,3.64
1.13,"Premium","I","VS2",62,58,4611,6.64,6.69,4.13
0.44,"Very Good","G","SI1",61.6,61,772,4.83,4.88,2.99
0.34,"Premium","D","SI1",60.2,60,803,4.54,4.5,2.72
1.01,"Premium","F","SI2",62.8,60,4497,6.4,6.33,4
0.36,"Ideal","F","SI1",61.1,57,551,4.57,4.6,2.8
0.7,"Premium","H","SI1",60.9,62,2176,5.72,5.67,3.47
0.25,"Very Good","F","VVS2",60.1,57,633,4.1,4.13,2.47
0.51,"Ideal","G","VS1",61.6,56,1662,5.18,5.15,3.18
1.1,"Very Good","F","VS2",61.1,57,6987,6.65,6.71,4.08
0.58,"Ideal","E","SI2",61.4,57.1,1392,5.36,5.38,3.3
1.13,"Ideal","G","SI2",62.9,54,5164,6.72,6.67,4.21
1.02,"Ideal","F","VS2",62.3,56,7175,6.39,6.54,4
0.71,"Very Good","D","SI1",61,58,2683,5.71,5.87,3.53
0.3,"Good","I","SI1",63.8,57,394,4.19,4.27,2.7
0.41,"Ideal","G","IF",62.4,54,1259,4.76,4.79,2.98
0.31,"Ideal","H","VS1",61.6,56,698,4.36,4.34,2.68
0.55,"Ideal","I","SI1",61.2,55,1320,5.28,5.33,3.25
0.91,"Very Good","H","SI1",62.8,58,3734,6.13,6.16,3.86
1.14,"Premium","I","SI1",60.1,60,4788,6.81,6.76,4.08
2.02,"Premium","J","SI2",63,58,8640,8.07,8.02,5.07
1.04,"Very Good","H","SI1",59.7,60,4682,6.55,6.58,3.92
0.59,"Premium","F","SI1",62.2,60,2124,5.37,5.33,3.33
0.71,"Ideal","F","SI1",61.5,56,2610,5.69,5.76,3.52
0.71,"Ideal","E","VS2",62,55,3247,5.7,5.75,3.55
0.5,"Ideal","E","SI1",62.4,56,1259,5.03,5.07,3.15
0.32,"Premium","G","VS2",60.2,57,720,4.45,4.42,2.67
1.19,"Very Good","G","SI1",62.8,57,6127,6.71,6.77,4.23
0.5,"Premium","G","VS1",59.7,60,1624,5.11,5.14,3.06
0.72,"Ideal","E","SI2",62.7,57,2345,5.71,5.78,3.6
0.92,"Very Good","H","VS2",63.4,57,4173,6.17,6.11,3.89
1.03,"Ideal","F","VVS2",62.5,56,9254,6.46,6.53,4.06
0.37,"Ideal","F","VVS1",59.2,57,1342,4.71,4.75,2.8
2.01,"Very Good","I","SI1",62.8,60,14811,7.99,8.04,5.03
0.54,"Ideal","G","IF",61.6,57,2361,5.22,5.27,3.23
0.32,"Ideal","G","VS2",62.5,56,720,4.42,4.38,2.75
1.03,"Premium","H","VS1",62.5,59,5523,6.43,6.47,4.03
0.33,"Premium","E","VS2",61,60,723,4.43,4.46,2.71
0.75,"Very Good","E","SI1",62.4,57,2517,5.79,5.85,3.63
1.18,"Premium","G","VVS2",58.2,62,9188,6.92,6.89,4.02
0.24,"Very Good","E","VVS2",63.3,57,485,3.95,3.98,2.51
1.3,"Very Good","E","VVS2",60.5,58,13725,7.05,7.11,4.28
1.01,"Good","F","SI1",64.2,58,4276,6.33,6.31,4.06
1.01,"Very Good","E","SI1",58.6,58,4766,6.52,6.58,3.84
0.73,"Ideal","H","SI2",62.3,56,2278,5.78,5.72,3.58
0.5,"Very Good","H","VS1",64.6,56,1426,4.97,5.06,3.24
0.5,"Ideal","F","SI1",61.5,55,1332,5.16,5.12,3.16
0.7,"Premium","D","VS2",61.3,58,2415,5.72,5.67,3.48
1.29,"Ideal","J","VS1",62,57,5779,6.98,6.92,4.31
1.01,"Premium","G","IF",61.3,58,7220,6.4,6.48,3.95
0.34,"Ideal","D","SI1",61.5,53,803,4.53,4.51,2.78
0.54,"Premium","E","VS1",61.3,56,1960,5.27,5.23,3.22
0.52,"Very Good","G","SI2",63.3,58,1073,5.11,5.06,3.22
0.73,"Premium","H","VS2",61,58,2519,5.84,5.76,3.54
1.22,"Premium","E","SI2",61.5,58,6012,6.84,6.86,4.21
0.26,"Good","F","VVS1",64,57,524,4.03,4.06,2.59
0.42,"Premium","F","VS2",61.7,59,945,4.82,4.75,2.95
0.97,"Ideal","E","SI2",62.3,56,4078,6.28,6.33,3.93
0.59,"Ideal","G","SI1",61.8,56,1718,5.37,5.39,3.32
0.35,"Ideal","I","IF",61.1,56,715,4.56,4.6,2.8
1.51,"Fair","J","SI2",65.1,59,5801,7.13,7.09,4.63
0.4,"Ideal","D","VS2",61.3,56,982,4.74,4.79,2.92
0.35,"Premium","E","VS2",60.9,59,767,4.54,4.56,2.77
1.1,"Very Good","D","VVS2",61.7,56,11132,6.64,6.65,4.1
1.51,"Premium","E","SI2",59.3,61,8135,7.57,7.51,4.47
0.7,"Ideal","F","VS1",60.7,58,3265,5.72,5.75,3.48
0.25,"Premium","E","VVS2",62.5,59,740,4.04,4.02,2.52
0.35,"Good","E","SI2",64,55,588,4.49,4.45,2.86
0.74,"Ideal","G","VVS2",60.7,56,3831,5.9,5.88,3.58
0.3,"Ideal","E","VVS2",62.2,57,766,4.28,4.31,2.67
0.34,"Ideal","D","VS1",60.3,57,914,4.52,4.55,2.73
2.1,"Premium","I","SI1",61.5,57,15007,8.25,8.21,5.06
0.7,"Ideal","G","VS1",60.5,56,3384,5.77,5.79,3.5
1,"Very Good","E","SI2",62.9,60,4781,6.3,6.35,3.98
0.4,"Ideal","I","VVS2",62.4,55,1035,4.73,4.7,2.94
0.73,"Very Good","G","VVS1",62.9,59,3606,5.7,5.78,3.61
1.26,"Very Good","I","SI1",61.9,58,6318,6.97,6.92,4.3
0.61,"Ideal","F","VVS2",62.2,55,2634,5.42,5.45,3.38
0.7,"Premium","D","SI1",60.2,60,2822,5.82,5.75,3.48
0.33,"Ideal","H","VVS1",61.5,56,730,4.46,4.49,2.75
1.71,"Ideal","J","SI1",62.8,57,6320,7.58,7.55,4.75
0.31,"Ideal","D","IF",61.1,56,1310,4.42,4.39,2.69
1.01,"Premium","G","SI1",59.6,58,5034,6.61,6.54,3.92
0.31,"Very Good","E","VS1",64,55,610,4.29,4.33,2.76
0.46,"Ideal","G","VVS1",61.5,55,1412,4.97,5.01,3.07
0.5,"Ideal","G","VS2",62,57,1449,5.08,5.11,3.16
1.01,"Very Good","D","SI1",61.4,59,6270,6.37,6.43,3.93
0.51,"Good","D","SI2",63.8,56,1268,5.09,5.07,3.24
2.13,"Very Good","G","SI2",57.9,60,16462,8.41,8.56,4.91
0.34,"Ideal","H","VS2",62.5,54,537,4.49,4.54,2.82
1.08,"Ideal","H","SI2",61,57,4536,6.64,6.6,4.04
1.13,"Premium","F","SI2",62.3,59,4360,6.68,6.65,4.15
0.35,"Ideal","F","VVS1",61.8,55,945,4.53,4.57,2.81
0.3,"Ideal","E","VVS1",62.5,54,979,4.32,4.29,2.69
0.33,"Premium","J","VS2",59.6,61,450,4.53,4.49,2.69
0.53,"Premium","E","SI1",61.8,60,2099,5.21,5.18,3.21
1.13,"Ideal","G","VVS1",61.2,57,9049,6.65,6.72,4.09
0.32,"Premium","F","VS2",60.6,59,828,4.44,4.4,2.68
0.4,"Ideal","E","SI1",60.5,57,737,4.77,4.81,2.9
0.74,"Very Good","H","VS1",61.9,59.1,2709,5.74,5.77,3.56
0.66,"Ideal","E","SI2",61.9,55,1560,5.61,5.64,3.48
1.01,"Very Good","F","SI1",63.5,59,4846,6.39,6.3,4.03
1.09,"Premium","I","VS2",61.3,58,4659,6.63,6.58,4.05
1,"Premium","D","VS1",59.7,60,8124,6.45,6.42,3.84
2.3,"Premium","H","SI2",60.6,59,14042,8.4,8.37,5.08
1.11,"Ideal","F","VVS1",59.7,58,12956,6.7,6.74,4.01
0.32,"Ideal","E","VS2",61.7,55,900,4.42,4.36,2.71
1.03,"Ideal","D","SI2",61.8,54,5013,6.46,6.52,4.01
0.9,"Very Good","H","VS2",63.1,60,3919,6.12,6.08,3.85
0.92,"Ideal","H","VS2",60.8,58,4639,6.27,6.32,3.83
0.55,"Ideal","D","VS2",61.7,55,2133,5.27,5.29,3.26
1.5,"Very Good","F","SI1",63.4,60,10684,7.2,7.27,4.59
0.32,"Ideal","G","VVS2",61.5,57,730,4.39,4.43,2.71
0.54,"Ideal","D","VS2",61.8,56,2041,5.25,5.23,3.24
0.81,"Very Good","G","VS2",63.1,58,2994,5.88,5.84,3.7
0.32,"Ideal","H","VS2",61.5,56,648,4.4,4.38,2.7
1.09,"Premium","E","SI2",59.4,60,4444,6.81,6.7,4.01
1.41,"Good","D","SI2",63.9,60,7501,7.08,7,4.5
0.27,"Very Good","F","IF",60.4,58,560,4.18,4.2,2.53
1.09,"Ideal","J","SI1",61.4,55,4565,6.61,6.67,4.08
0.71,"Very Good","H","SI1",64,58,2141,5.57,5.61,3.58
1.04,"Premium","D","VS1",60.8,58,7041,6.53,6.5,3.96
1.03,"Very Good","H","SI1",63.3,57,4932,6.41,6.39,4.05
0.4,"Premium","E","IF",61.3,58,1580,4.77,4.73,2.91
1.01,"Good","E","VVS2",64.2,57,7293,6.3,6.34,4.06
1.3,"Premium","G","VVS1",60.5,60,11162,7.05,7.01,4.25
1.2,"Very Good","I","SI1",62.4,59,5816,6.73,6.79,4.22
0.7,"Very Good","G","SI1",63,59,2276,5.64,5.67,3.56
0.9,"Ideal","J","VS1",62.4,56,3498,6.15,6.18,3.85
1.51,"Good","H","SI1",62.2,61,8854,7.25,7.32,4.53
1.22,"Premium","E","SI1",62.6,58,7262,6.78,6.8,4.25
1,"Ideal","D","VS1",62.4,55,7966,6.4,6.43,4
0.31,"Ideal","F","VVS1",61.9,53.5,882,4.36,4.39,2.71
1.52,"Premium","G","VVS1",60.4,59,15959,7.38,7.48,4.49
0.4,"Premium","D","SI1",61.4,56,990,4.83,4.72,2.93
0.73,"Premium","G","SI1",62,58,2163,5.75,5.8,3.58
0.31,"Ideal","I","VS1",61.6,55,628,4.36,4.34,2.68
0.55,"Ideal","I","VVS1",62.7,57,1712,5.23,5.17,3.26
0.5,"Premium","E","VS1",61.9,59,2055,5.1,5.08,3.15
0.7,"Ideal","E","SI1",62.2,57,2542,5.72,5.67,3.54
1.04,"Premium","H","VS2",61.2,59,5561,6.57,6.51,4
0.73,"Very Good","J","VS2",60.6,61,1952,5.77,5.81,3.51
0.3,"Premium","D","SI1",62.4,60,709,4.26,4.23,2.65
0.46,"Good","E","VS2",60.9,62,1267,4.93,4.96,3.01
0.35,"Premium","E","VS2",60.4,60,984,4.55,4.52,2.74
1.31,"Ideal","G","VVS1",61.9,55,13406,7.03,7.05,4.36
1.52,"Ideal","F","SI2",62.5,57,9533,7.36,7.32,4.59
0.72,"Ideal","I","VVS1",61.4,57,2642,5.77,5.8,3.55
0.3,"Premium","F","VS2",62.2,58,605,4.28,4.31,2.67
1.23,"Premium","G","VS1",59.6,60,8293,6.99,6.94,4.15
0.3,"Ideal","E","VS2",62.8,56,844,4.32,4.28,2.7
1.16,"Ideal","D","VVS2",62,55,12989,6.68,6.72,4.19
0.53,"Ideal","H","VS2",62.5,56,1314,5.15,5.19,3.23
1.69,"Very Good","I","SI1",61.8,60,10497,7.58,7.61,4.69
1.56,"Ideal","F","VS1",61.7,56,17455,7.48,7.46,4.61
0.71,"Ideal","D","SI2",61.1,57,2612,5.77,5.79,3.53
0.37,"Ideal","E","VS2",62.7,56,1041,4.6,4.55,2.87
1.51,"Very Good","F","SI1",60.7,60,11560,7.39,7.43,4.5
1.28,"Very Good","I","VS1",62.8,57,6726,6.9,6.95,4.35
0.44,"Ideal","E","VS1",61.5,56,1081,4.9,4.92,3.02
0.9,"Very Good","E","I1",62.4,63,2200,6.13,6.01,3.79
1.5,"Fair","I","I1",66.1,57,4704,7.12,7.04,4.68
1.02,"Ideal","I","VS2",61.5,57,4662,6.49,6.45,3.98
1.01,"Good","G","SI2",63.7,58,3852,6.31,6.35,4.03
0.56,"Ideal","F","VS2",62.3,55,1608,5.28,5.32,3.3
0.31,"Premium","F","VS1",61.8,60,872,4.39,4.35,2.7
0.7,"Fair","D","SI1",66.2,57,2550,5.56,5.41,3.63
0.5,"Very Good","G","VVS2",60,56,2260,5.18,5.21,3.12
0.57,"Ideal","D","VS2",61.3,56,2546,5.35,5.42,3.3
1.51,"Fair","E","SI1",65.3,62,8869,7.16,7.09,4.65
1.2,"Very Good","I","VS1",62.4,56,6167,6.78,6.74,4.22
0.74,"Premium","D","VS2",61.8,58,2897,5.81,5.77,3.58
1.01,"Very Good","E","SI1",59.9,59,5224,6.46,6.49,3.88
0.4,"Ideal","G","IF",62.2,55,1397,4.76,4.73,2.95
1.02,"Premium","D","I1",61.4,60,3838,6.47,6.42,3.96
0.36,"Premium","D","VS2",60.5,58,1094,4.63,4.6,2.79
1.51,"Premium","H","SI1",62.8,60,7759,7.22,7.14,4.51
0.3,"Ideal","I","VVS1",61.9,57,709,4.35,4.31,2.68
1.21,"Premium","E","VVS2",61.9,58,11395,6.84,6.79,4.22
2.09,"Ideal","I","SI2",63,57,14838,8.13,8.09,5.11
1.59,"Very Good","D","SI1",62.8,54,13631,7.43,7.48,4.68
0.3,"Very Good","E","VS2",62.3,57,658,4.27,4.3,2.67
0.33,"Ideal","I","IF",61.6,55,891,4.47,4.46,2.75
0.75,"Ideal","H","SI1",62.9,57,2523,5.75,5.8,3.63
1.53,"Very Good","G","SI2",61.1,58,8095,7.38,7.41,4.52
0.41,"Good","E","VS1",63.9,53,1166,4.75,4.7,3.02
0.41,"Premium","E","SI1",60.5,61,969,4.8,4.78,2.9
0.7,"Very Good","I","SI1",62.2,58,2136,5.63,5.66,3.51
0.4,"Very Good","D","VS2",59.6,58,851,4.8,4.83,2.87
0.41,"Ideal","E","VVS1",61.1,56,1745,4.8,4.82,2.94
1.51,"Ideal","I","SI1",62.4,59,8752,7.27,7.34,4.56
0.3,"Ideal","I","VS1",62.5,57,608,4.32,4.29,2.69
0.51,"Ideal","F","VS2",61.9,55,1591,5.11,5.15,3.18
1.12,"Premium","E","SI2",61.1,58,5620,6.73,6.69,4.1
0.3,"Ideal","H","VVS1",62.3,55,665,4.3,4.33,2.69
0.72,"Ideal","E","SI2",62.4,57,2939,5.71,5.74,3.57
0.31,"Ideal","F","IF",60.9,56,914,4.37,4.4,2.67
0.58,"Good","G","SI1",63.5,56,1295,5.28,5.34,3.37
1.5,"Very Good","H","VS2",61.6,55,10558,7.37,7.43,4.56
0.38,"Premium","E","VS1",60.7,59,1000,4.65,4.7,2.84
1.1,"Ideal","J","SI1",61.5,55,4390,6.65,6.68,4.1
1,"Ideal","E","SI1",61.7,55,5938,6.44,6.49,3.99
0.32,"Ideal","H","VS1",62.5,55,620,4.36,4.38,2.73
2,"Premium","I","VS1",60.8,59,18795,8.13,8.02,4.91
0.71,"Very Good","J","SI2",60.7,61,1805,5.75,5.81,3.51
0.3,"Good","G","VS1",63.6,54,776,4.31,4.25,2.72
1.52,"Premium","G","VVS1",60.4,59,16104,7.48,7.38,4.49
1.09,"Ideal","J","VS2",43,54,4778,6.53,6.55,4.12
0.3,"Premium","H","VVS2",60.8,60,776,4.33,4.29,2.62
0.72,"Premium","F","SI2",59.3,57,2364,5.89,5.85,3.48
0.7,"Very Good","H","VVS2",62.6,57,2558,5.63,5.65,3.53
1.22,"Very Good","G","VS2",62.7,58,8377,6.8,6.72,4.24
0.32,"Ideal","D","VS2",61.6,56,972,4.4,4.37,2.7
0.31,"Ideal","E","VS1",60.5,60,682,4.37,4.39,2.65
0.32,"Ideal","F","VS2",62.5,56,645,4.36,4.38,2.73
1.06,"Very Good","H","VS2",60.7,59,5415,6.56,6.63,4
0.79,"Ideal","E","VS2",59.3,57,3377,6.02,6.06,3.58
1.52,"Ideal","H","SI1",60.1,60,9235,7.5,7.42,4.48
0.33,"Very Good","H","VS2",61.4,58,521,4.44,4.49,2.74
0.55,"Very Good","I","VS2",58.5,62.2,1235,5.39,5.4,3.16
0.34,"Good","G","SI1",63.9,58,507,4.4,4.43,2.82
0.3,"Ideal","D","SI1",61.9,55,524,4.31,4.35,2.68
0.91,"Very Good","D","SI1",62,59,5342,6.19,6.16,3.83
0.7,"Ideal","F","VVS2",61.5,56,4439,5.7,5.78,3.53
0.7,"Very Good","D","SI1",61.1,61,2724,5.67,5.76,3.49
0.94,"Ideal","F","I1",61.5,55,2571,6.34,6.37,3.91
0.35,"Ideal","G","IF",61.8,55,1044,4.54,4.56,2.81
0.39,"Good","G","IF",63.5,56,1213,4.65,4.67,2.96
0.9,"Very Good","F","SI1",63.4,57,3699,6.06,6.11,3.86
0.35,"Good","D","SI2",63.3,55,522,4.45,4.49,2.83
0.9,"Good","D","SI1",63.5,57,4381,6.11,6.15,3.89
0.3,"Ideal","H","VVS2",61,55,577,4.33,4.34,2.65
1.18,"Ideal","D","SI1",61.9,55,7216,6.8,6.76,4.2
0.74,"Very Good","H","VVS2",61.3,58,2944,5.8,5.85,3.57
0.36,"Premium","E","VS1",61.5,59,933,4.6,4.57,2.82
1.18,"Very Good","J","SI2",62.2,58,4353,6.74,6.79,4.21
0.29,"Fair","F","SI1",55.8,60,1776,4.48,4.41,2.48
0.71,"Ideal","D","SI1",60.6,57,3035,5.82,5.72,3.5
0.51,"Very Good","H","VS1",62.3,56,1628,5.1,5.13,3.18
0.39,"Ideal","J","VS2",61.2,56,642,4.71,4.74,2.89
0.27,"Ideal","H","SI1",61.3,55,383,4.17,4.21,2.57
0.55,"Ideal","G","VVS1",61.5,55,2473,5.28,5.26,3.24
0.6,"Ideal","F","VS2",61.9,57,1970,5.39,5.43,3.35
0.32,"Premium","F","VS2",59.7,59,645,4.41,4.44,2.64
1.52,"Premium","J","VS1",61.2,59,8216,7.36,7.39,4.51
0.41,"Ideal","E","VS2",62.2,56,1087,4.8,4.75,2.97
2.51,"Ideal","H","SI1",62.9,56,15324,8.65,8.61,5.43
1.06,"Premium","I","SI2",58.4,62,3579,6.7,6.65,3.9
1.17,"Very Good","D","VS1",60.5,57,10681,6.79,6.86,4.13
1.15,"Premium","H","SI1",60.9,57,5139,6.8,6.72,4.12
0.32,"Ideal","H","SI2",61.4,56,420,4.4,4.43,2.71
0.31,"Ideal","H","VVS1",62,54.2,660,4.35,4.39,2.71
1.55,"Ideal","F","VS2",62.6,57,14185,7.35,7.39,4.61
0.32,"Premium","D","SI1",63,58,756,4.4,4.36,2.76
0.3,"Very Good","H","VS2",62.9,59,473,4.26,4.3,2.69
0.71,"Good","F","SI2",64.1,60,2130,0,0,0
0.72,"Good","E","VS1",57.9,60,3048,5.97,5.91,3.44
1.18,"Ideal","H","SI1",61.4,55,6013,6.84,6.78,4.18
1.07,"Premium","H","SI2",62.2,59,4119,6.47,6.53,4.04
0.37,"Ideal","H","VVS1",62.3,56,810,4.56,4.59,2.85
0.71,"Very Good","H","SI1",62.9,58,2246,5.62,5.66,3.55
1.01,"Very Good","G","VS2",61.6,56,5839,6.4,6.46,3.96
0.31,"Premium","E","VS2",61.6,59,872,4.35,4.32,2.67
0.72,"Ideal","F","SI2",60.8,56,2674,5.82,5.79,3.53
1,"Very Good","D","VVS2",61.3,58,9487,6.37,6.42,3.92
1.53,"Ideal","H","SI1",61.9,58,8289,7.38,7.42,4.58
0.77,"Premium","D","VS2",61.2,59,3428,5.91,5.86,3.6
0.73,"Good","E","VS1",60.8,61,3471,5.77,5.8,3.52
1.01,"Ideal","E","VVS2",61.7,57,11400,6.42,6.44,3.97
1.5,"Very Good","D","SI2",63.1,56,9783,7.17,7.28,4.56
